Data,Hora,Data Valor,Produto,ISIN,Descrição,T.,Mudança,,Saldo,,ID da Ordem
07-02-2025,05:51,06-02-2025,,,Levantamentos da sua Conta Caixa na flatexDEGIRO Bank AG: 10 EUR,,,,EUR,511.50,
07-02-2025,05:51,06-02-2025,,,Degiro Cash Sweep Transfer,,EUR,10.00,EUR,521.50,
06-02-2025,17:15,31-01-2025,,,Custo de Conectividade DEGIRO 2025 (Euronext Derivatives - LFF),,EUR,-2.50,EUR,511.50,
06-02-2025,17:15,31-01-2025,,,Custo de Conectividade DEGIRO 2025 (Euronext Brussels - EBR),,EUR,-2.50,EUR,514.00,
06-02-2025,17:15,31-01-2025,,,Custo de Conectividade DEGIRO 2025 (Euronext Amsterdam - EAM),,EUR,-2.50,EUR,516.50,
06-02-2025,17:15,31-01-2025,,,Custo de Conectividade DEGIRO 2025 (Tradegate AG - TDG),,EUR,-2.50,EUR,519.00,
30-01-2025,03:50,29-01-2025,,,"Depósitos na sua Conta Caixa na flatexDEGIRO Bank AG: 498,5 EUR",,,,EUR,521.50,
30-01-2025,03:50,29-01-2025,,,Degiro Cash Sweep Transfer,,EUR,-498.50,EUR,23.00,
29-01-2025,10:42,29-01-2025,COL P35.00 19DEC25,BEEX00012704,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-1.50,EUR,521.50,49284738-b293-468e-a5fb-b4177362cce3
29-01-2025,10:42,29-01-2025,COL P35.00 19DEC25,BEEX00012704,"Venda 2 COL P35.00 19DEC25@2,5 EUR (BEEX00012704)",,EUR,500.00,EUR,523.00,49284738-b293-468e-a5fb-b4177362cce3
08-01-2025,12:00,07-01-2025,,,"Levantamentos da sua Conta Caixa na flatexDEGIRO Bank AG: 59,54 EUR",,,,EUR,23.00,
08-01-2025,12:00,07-01-2025,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,59.54,EUR,82.54,
07-01-2025,15:38,07-01-2025,VANGUARD FTSE ALL-WORLD HIGH DIV,IE00B8GKDB10,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-1.00,EUR,23.00,ca6c8080-5637-449f-b772-9f035d6e5aaf
07-01-2025,15:38,07-01-2025,VANGUARD FTSE ALL-WORLD HIGH DIV,IE00B8GKDB10,"Compra 48 Vanguard FTSE All-World High Div Yield UCITS USD@64,68 EUR (IE00B8GKDB10)",,EUR,-3104.64,EUR,24.00,ca6c8080-5637-449f-b772-9f035d6e5aaf
07-01-2025,15:35,07-01-2025,FLOW TRADERS LTD,BMG3602E1084,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-4.90,EUR,3128.64,ffde74b7-9e6c-4c28-ae3c-7efc5269db7a
07-01-2025,15:35,07-01-2025,FLOW TRADERS LTD,BMG3602E1084,"Venda 135 Flow Traders Ltd@22,6 EUR (BMG3602E1084)",,EUR,3051.00,EUR,3133.54,ffde74b7-9e6c-4c28-ae3c-7efc5269db7a
05-01-2025,02:02,02-01-2025,,,Flatex Interest Income,,EUR,0.00,EUR,82.54,
03-01-2025,03:50,02-01-2025,,,"Depósitos na sua Conta Caixa na flatexDEGIRO Bank AG: 80,29 EUR",,,,EUR,82.54,
03-01-2025,03:50,02-01-2025,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-80.29,EUR,2.25,
31-12-2024,07:55,30-12-2024,,,Crédito de divisa,,EUR,80.29,EUR,82.54,
31-12-2024,07:55,30-12-2024,,,Levantamento de divisa,1.0433,USD,-83.77,USD,0.00,
30-12-2024,07:22,27-12-2024,VANGUARD FTSE ALL-WORLD HIGH DIV,IE00B8GKDB10,Dividendo,,USD,83.77,USD,83.77,
11-10-2024,16:45,11-10-2024,,,"Levantamentos da sua Conta Caixa na flatexDEGIRO Bank AG: 445,92 EUR",,,,EUR,2.25,
11-10-2024,16:45,11-10-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,445.92,EUR,448.17,
11-10-2024,12:12,11-10-2024,VANGUARD FTSE ALL-WORLD HIGH DIV,IE00B8GKDB10,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-1.00,EUR,2.25,012ff299-675e-4f22-9950-21a0ad692414
11-10-2024,12:12,11-10-2024,VANGUARD FTSE ALL-WORLD HIGH DIV,IE00B8GKDB10,"Compra 7 Vanguard FTSE All-World High Div Yield UCITS USD@63,56 EUR (IE00B8GKDB10)",,EUR,-444.92,EUR,3.25,012ff299-675e-4f22-9950-21a0ad692414
04-10-2024,22:01,30-09-2024,,,Flatex Interest Income,,EUR,0.00,EUR,448.17,
03-10-2024,05:17,02-10-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-338.10,EUR,448.17,
03-10-2024,05:17,02-10-2024,,,"Depósitos na sua Conta Caixa na flatexDEGIRO Bank AG: 338,1 EUR",,,,EUR,786.27,
02-10-2024,07:30,01-10-2024,COLRUYT,BE0974256852,Dividendo,,EUR,483.00,EUR,448.17,
02-10-2024,07:30,01-10-2024,COLRUYT,BE0974256852,Imposto sobre dividendo,,EUR,-144.90,EUR,-34.83,
27-09-2024,22:06,27-09-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-47.68,EUR,110.07,
27-09-2024,22:06,27-09-2024,,,"Depósitos na sua Conta Caixa na flatexDEGIRO Bank AG: 47,68 EUR",,,,EUR,157.75,
27-09-2024,07:12,26-09-2024,,,Crédito de divisa,,EUR,47.68,EUR,110.07,
27-09-2024,07:12,26-09-2024,,,Levantamento de divisa,1.1205,USD,-53.43,USD,0.00,
26-09-2024,07:02,25-09-2024,VANGUARD FTSE ALL-WORLD HIGH DIV,IE00B8GKDB10,Dividendo,,USD,53.43,USD,53.43,
23-09-2024,09:00,20-09-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,4954.60,EUR,62.39,
23-09-2024,09:00,20-09-2024,,,"Levantamentos da sua Conta Caixa na flatexDEGIRO Bank AG: 4 954,6 EUR",,,,EUR,-4892.21,
20-09-2024,16:00,20-09-2024,VANGUARD FTSE ALL-WORLD HIGH DIV,IE00B8GKDB10,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-1.00,EUR,62.39,3d35ba86-9205-4476-b34c-8758ceba4b92
