Data,Hora,Produto,ISIN,Bolsa de,Bolsa,Quantidade,Preços,,Valor local,,Valor,,Taxa de Câmbio,Custos de transação,,Total,,ID da Ordem
11-10-2024,12:12,VANGUARD FTSE HDY,IE00B8GKDB10,EAM,XAMS,7,63.5600,EUR,-444.92,EUR,-444.92,EUR,,-1.00,EUR,-445.92,EUR,012ff299-675e-4f22-9950-21a0ad692414
20-09-2024,16:00,VANGUARD FTSE HDY,IE00B8GKDB10,EAM,XAMS,80,61.9200,EUR,-4953.60,EUR,-4953.60,EUR,,-1.00,EUR,-4954.60,EUR,3d35ba86-9205-4476-b34c-8758ceba4b92
08-08-2024,10:05,VANGUARD FTSE HDY,IE00B8GKDB10,EAM,XAMS,85,59.0000,EUR,-5015.00,EUR,-5015.00,EUR,,-1.00,EUR,-5016.00,EUR,545b355e-841c-4da3-b5c7-9ecbd34386ee
06-08-2024,10:36,VANGUARD FTSE HDY,IE00B8GKDB10,EAM,MSEU,23,58.7980,EUR,-1352.35,EUR,-1352.35,EUR,,-1.00,EUR,-1353.35,EUR,d8019436-f51e-4ffd-88be-4329ed258f61
17-05-2024,11:53,ADR ON ALIBABA GROUP HOLDING,US01609W1027,TDG,XGAT,37,81.0000,EUR,-2997.00,EUR,-2997.00,EUR,,-3.90,EUR,-3000.90,EUR,3dfbca73-82e3-483d-aa00-e0ef61cc7a6b
17-05-2024,11:52,COLRUYT,BE0974256852,EBR,"MESI, XBRU",-72,43.3400,EUR,3120.48,EUR,3120.48,EUR,,-4.90,EUR,3115.58,EUR,993f2410-1e95-49b3-b97d-786b4680d939
27-12-2023,16:21,COLRUYT,BE0974256852,EBR,MESI,-178,41.1400,EUR,7322.92,EUR,7322.92,EUR,,-4.90,EUR,7318.02,EUR,85ad98a5-d55f-4aab-8b11-742ce11539ec
21-12-2023,09:48,FLOW TRADERS LTD,BMG3602E1084,EAM,XAMS,135,17.9100,EUR,-2417.85,EUR,-2417.85,EUR,,-4.90,EUR,-2422.75,EUR,3b1686a1-059d-4373-8866-07a34197eff5
20-12-2023,17:35,FLOW TRADERS LTD,BMG3602E1084,EAM,XAMS,-113,18.0800,EUR,2043.04,EUR,2043.04,EUR,,,EUR,2043.04,EUR,fd7c7cb3-3c7a-49b9-ba77-e5a4be9128c9
20-12-2023,17:25,FLOW TRADERS LTD,BMG3602E1084,EAM,XAMS,-3,18.0400,EUR,54.12,EUR,54.12,EUR,,,EUR,54.12,EUR,fd7c7cb3-3c7a-49b9-ba77-e5a4be9128c9
20-12-2023,17:24,FLOW TRADERS LTD,BMG3602E1084,EAM,XAMS,-19,18.0400,EUR,342.76,EUR,342.76,EUR,,-4.90,EUR,337.86,EUR,fd7c7cb3-3c7a-49b9-ba77-e5a4be9128c9
15-12-2023,11:30,TENCENT HOLDINGS LTD,KYG875721634,TDG,XGAT,80,36.8900,EUR,-2951.20,EUR,-2951.20,EUR,,-3.90,EUR,-2955.10,EUR,f7a5f69e-b105-40eb-b43a-2cac90028039
15-12-2023,11:28,TENCENT HOLDINGS LTD,KYG875721634,TDG,XGAT,-80,36.6600,EUR,2932.80,EUR,2932.80,EUR,,-3.90,EUR,2928.90,EUR,dd66765d-8342-46b9-b96c-a1eaf1164c4f
16-11-2023,18:02,ADR ON ALIBABA GROUP HOLDING,US01609W1027,TDG,XGAT,15,72.9000,EUR,-1093.50,EUR,-1093.50,EUR,,-3.90,EUR,-1097.40,EUR,e8b2d772-f258-486d-a75b-fb4aaf335e91
04-09-2023,11:50,VANGUARD FTSE ALL-WORLD UCITS ETF - (USD) ACCUMULATING,IE00BK5BQT80,XET,XETA,-127,103.5072,EUR,13145.42,EUR,13145.42,EUR,,-1.00,EUR,13144.42,EUR,30f23a9e-1dfe-4f44-96d1-5f3ac41b83b2
28-03-2023,16:29,MEITUAN CL.B,KYG596691041,FRA,FRAB,-8,15.9800,EUR,127.84,EUR,127.84,EUR,,-4.90,EUR,122.94,EUR,70f62b26-3cd7-4368-9edb-f6033061724f
27-03-2023,07:26,MEITUAN CL.B - NON TRADEABLE,KYG596691041,DEG,,-8,16.8500,EUR,134.80,EUR,134.80,EUR,,,EUR,134.80,EUR,
27-03-2023,07:26,MEITUAN CL.B,KYG596691041,FRA,,8,16.8500,EUR,-134.80,EUR,-134.80,EUR,,,EUR,-134.80,EUR,
23-02-2023,00:00,ADR ON ALIBABA GROUP HOLDING,US01609W1027,TDG,,58,108.8069,EUR,-6310.80,EUR,-6310.80,EUR,,,EUR,-6310.80,EUR,
